key,value
data:955172132470525994,"{""st"":1,""cl"":null,""ls"":[""de""],""fc"":[""955172133577850945""]}"
data:955172133577850945,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""955172132470525994""]}"
data:955260359135080548,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:955319939911270444,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""998016713922724001"",""998019546369769492"",""998020324589326387"",""998021157443862652"",""998025745001627779""]}"
data:955459000584003604,"{""st"":1,""cl"":""en"",""ls"":[""es""],""fc"":[]}"
data:956623871556063284,"{""st"":1,""cl"":null,""ls"":[],""fc"":[""998016821678571560"",""998019483924967536"",""998020257790824478"",""998021102267801621"",""998025688642768926""]}"
data:956745516341944410,"{""st"":1,""cl"":null,""ls"":[""en"",""es""],""fc"":[]}"
data:956974488455626802,"{""st"":1,""cl"":null,""ls"":[],""fc"":[""842672082486820924""]}"
data:956974878907572275,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""837705940832354324""]}"
data:959797242691190817,"{""st"":1,""cl"":null,""ls"":[""pt"",""en""],""fc"":[]}"
data:960561946728493097,"{""st"":1,""cl"":""en"",""ls"":[],""fc"":[]}"
data:960906791661764751,"{""st"":1,""cl"":null,""ls"":[],""fc"":[]}"
data:961203647381905455,"{""st"":1,""cl"":""en"",""ls"":[],""fc"":[]}"
data:964228470869749780,"{""st"":1,""cl"":""en"",""ls"":[],""fc"":[]}"
data:964331882701529151,"{""st"":1,""cl"":""en"",""ls"":[""zh-CN"",""fr"",""en"",""ja"",""th""],""fc"":[]}"
data:964332232502300754,"{""st"":1,""cl"":null,""ls"":[""th""],""fc"":[""964332262009217034""]}"
data:964332262009217034,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[""964332232502300754""]}"
data:965216420847820840,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[]}"
data:966741436076802068,"{""st"":1,""cl"":""id"",""ls"":[],""fc"":[]}"
data:966879100239249450,"{""st"":1,""cl"":""en"",""ls"":[""th"",""my""],""fc"":[]}"
data:967028031963136051,"{""st"":1,""cl"":""en"",""ls"":[],""fc"":[]}"
data:967032200916791396,"{""st"":1,""cl"":""en"",""ls"":[""en"",""id""],""fc"":[]}"
data:967967448856940645,"{""st"":1,""cl"":null,""ls"":[""es""],""fc"":[""968442783721488445""]}"
data:968059672584130600,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""968059778133790760"",""968059701797457920"",""968059744566784010"",""968147083305566219"",""978995935805841488""]}"
data:968059701797457920,"{""st"":1,""cl"":null,""ls"":[""es""],""fc"":[""968059672584130600"",""968059744566784010"",""968059778133790760"",""968147083305566219"",""978995935805841488""]}"
data:968059744566784010,"{""st"":1,""cl"":null,""ls"":[""german""],""fc"":[""968059672584130600"",""968059701797457920"",""968059778133790760"",""968147083305566219"",""978995935805841488""]}"
data:968059778133790760,"{""st"":1,""cl"":null,""ls"":[""fr""],""fc"":[""968059672584130600"",""968059701797457920"",""968059744566784010"",""968147083305566219"",""978995935805841488""]}"
data:968063166745559080,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[]}"
